일자,시도명,읍면동명,거주인구,근무인구,방문인구,총 유동인구,선불금액,배출량,데이터기준일자
2018-01-01,서귀포시,남원읍,291408.897,18744.131,219588.857,529741.884,1239600,37110,2020-12-15
2018-01-02,서귀포시,남원읍,290944.66,27781.676,166779.581,485505.917,1569850,47002,2020-12-15
2018-01-03,서귀포시,남원읍,287121.506,27767.075,181151.435,496040.016,1405650,42080,2020-12-15
2018-01-04,서귀포시,남원읍,279036.104,27045.987,188198.647,494280.738,1390250,41610,2020-12-15
2018-01-05,서귀포시,남원읍,287205.972,24824.666,171332.544,483363.182,1585700,47485,2020-12-15
2018-01-06,서귀포시,남원읍,287820.402,20225.755,203507.082,511553.24,1180950,35352,2020-12-15
2018-01-07,서귀포시,남원읍,295788.929,17764.307,186689.528,500242.764,1391500,41662,2020-12-15
2018-01-08,서귀포시,남원읍,288159.936,25453.073,166402.869,480015.877,1328350,39768,2020-12-15
2018-01-09,서귀포시,남원읍,287387.987,25295.671,177444.137,490127.796,1281850,38379,2020-12-15
2018-01-10,서귀포시,남원읍,291347.572,23248.081,165175.904,479771.557,923750,27650,2020-12-15
2018-01-11,서귀포시,남원읍,298167.688,21013.934,133391.492,452573.115,674800,20200,2020-12-15
2018-01-12,서귀포시,남원읍,297122.315,20657.86,139731.392,457511.568,1138700,34104,2020-12-15
2018-01-13,서귀포시,남원읍,288884.128,17467.832,184490.582,490842.543,1852250,55491,2020-12-15
2018-01-14,서귀포시,남원읍,291240.719,17695.899,224387.63,533324.247,1751200,52456,2020-12-15
2018-01-15,서귀포시,남원읍,281654.247,26377.295,208010.107,516041.648,1510950,45242,2020-12-15
2018-01-16,서귀포시,남원읍,282357.396,25995.979,190381.762,498735.137,948700,28419,2020-12-15
2018-01-17,서귀포시,남원읍,280542.937,25847.14,205060.027,511450.105,1543700,46212,2020-12-15
2018-01-18,서귀포시,남원읍,282848.995,26147.107,226565.416,535561.517,1608150,48163,2020-12-15
2018-01-19,서귀포시,남원읍,279346.769,26372.827,231199.297,536918.893,1533550,45921,2020-12-15
2018-01-20,서귀포시,남원읍,283495.483,20840.954,241941.239,546277.676,1614450,48355,2020-12-15
2018-01-21,서귀포시,남원읍,287369.045,19680.526,241988.553,549038.124,1324750,39666,2020-12-15
2018-01-22,서귀포시,남원읍,277951.774,26731.669,203651.886,508335.328,1486600,44504,2020-12-15
2018-01-23,서귀포시,남원읍,281898.801,25017.66,197426.505,504342.965,1352500,40495,2020-12-15
2018-01-24,서귀포시,남원읍,285863.925,23810.596,176802.594,486477.115,978500,29295,2020-12-15
2018-01-25,서귀포시,남원읍,283842.027,24645.019,189801.429,498288.475,1152250,34504,2020-12-15
2018-01-26,서귀포시,남원읍,279766.47,24495.996,182069.601,486332.067,1392400,41705,2020-12-15
2018-01-27,서귀포시,남원읍,282110.046,18788.191,225101.005,525999.241,1707700,51160,2020-12-15
2018-01-28,서귀포시,남원읍,291966.687,16432.26,209071.276,517470.222,1285250,38486,2020-12-15
2018-01-29,서귀포시,남원읍,281929.797,26602.888,183355.518,491888.203,1582050,47387,2020-12-15
2018-01-30,서귀포시,남원읍,281536.242,25786.453,177052.273,484374.967,1419800,42523,2020-12-15
2018-01-31,서귀포시,남원읍,276581.982,25941.202,174633.302,477156.486,1282000,38387,2020-12-15
2018-02-01,서귀포시,남원읍,302437.239,27374.848,152830.769,482642.856,1268450,37988,2020-12-15
2018-02-02,서귀포시,남원읍,298658.614,28756.812,175491.437,502906.862,1436100,43005,2020-12-15
2018-02-03,서귀포시,남원읍,302757.178,19168.369,129214.122,451139.669,867950,25987,2020-12-15
2018-02-04,서귀포시,남원읍,310646.308,18151.363,106452.824,435250.496,890000,26658,2020-12-15
2018-02-05,서귀포시,남원읍,307003.222,25167.695,99254.782,431425.699,975050,29197,2020-12-15
2018-02-06,서귀포시,남원읍,306876.177,26255.799,98606.595,431738.571,1080550,32349,2020-12-15
2018-02-07,서귀포시,남원읍,300392.464,27204.493,121136.728,448733.685,1405750,42088,2020-12-15
2018-02-08,서귀포시,남원읍,303741.253,25191.101,121811.158,450743.512,1354650,40572,2020-12-15
2018-02-09,서귀포시,남원읍,289929.793,27790.83,143575.998,461296.621,1613800,48329,2020-12-15
2018-02-10,서귀포시,남원읍,291507.943,20515.886,137814.72,449838.549,1369150,41011,2020-12-15
2018-02-11,서귀포시,남원읍,294713.052,18705.014,133552.148,446970.214,1500950,44949,2020-12-15
2018-02-12,서귀포시,남원읍,287575.38,24002.887,117730.69,429308.957,1330400,39822,2020-12-15
2018-02-13,서귀포시,남원읍,283093.977,23588.238,123825.94,430508.155,1334900,39961,2020-12-15
2018-02-14,서귀포시,남원읍,273056.434,22851.24,132610.941,428518.615,1686950,50519,2020-12-15
2018-02-15,서귀포시,남원읍,282152.631,15303.544,225116.372,522572.547,1644200,49215,2020-12-15
2018-02-16,서귀포시,남원읍,270903.155,14371.342,363693.343,648967.84,979400,29315,2020-12-15
2018-02-17,서귀포시,남원읍,271553.036,14090.018,230884.071,516527.125,1286400,38522,2020-12-15
2018-02-18,서귀포시,남원읍,280575.039,14795.173,171038.079,466408.291,1522400,45580,2020-12-15
